Unnamed: 0,_id,ltable_ID,rtable_ID,ltable_Album,ltable_Artist,ltable_Release Date,rtable_Album,rtable_Artist,rtable_Release Date
393,393,a135,b3116,without warning,21 savage,Oct 31 2017,without warning,"21 savage, offset and metro boomin",Oct 31 2017
394,394,a1350,b1954,abendrot,you blew it!,Nov 11 2016,abendrot,you blew it!,Nov 11 2016
397,397,a1353,b1932,the 1966 live recordings [box set],bob dylan,Nov 11 2016,the 1966 live recordings,bob dylan,Nov 11 2016
405,405,a1363,b1905,this house is not for sale,bon jovi,Nov 4 2016,this house is not for sale,bon jovi,Nov 4 2016
408,408,a1364,b1924,lodestar,shirley collins,Nov 4 2016,lodestar,shirley collins,Nov 4 2016
409,409,a1366,b1923,heavy entertainment show,robbie williams,Nov 4 2016,the heavy entertainment show,robbie williams,Nov 4 2016
411,411,a1367,b1915,eternally even,jim james,Nov 4 2016,eternally even,jim james,Nov 4 2016
414,414,a1368,b1913,until the hunter,hope sandoval & the warm inventions,Nov 4 2016,until the hunter,hope sandoval & the warm inventions,Nov 4 2016
415,415,a1369,b1908,black america again,common,Nov 4 2016,black america again,common,Nov 4 2016
419,419,a1370,b1903,here,alicia keys,Nov 4 2016,here,alicia keys,Nov 4 2016
423,423,a1375,b1925,fuzzy logic [20th anniversary deluxe edition],super furry animals,Nov 4 2016,zoom! the best of 1995–2016,super furry animals,Nov 4 2016
429,429,a138,b3114,pacific daydream,weezer,Oct 27 2017,pacific daydream,weezer,Oct 27 2017
430,430,a1384,b1886,two vines,empire of the sun,Oct 28 2016,two vines,empire of the sun,Oct 28 2016
432,432,a1386,b1902,lady wood,tove lo,Oct 28 2016,lady wood,tove lo,Oct 28 2016
434,434,a1387,b1896,can't touch us now,madness,Oct 28 2016,can't touch us now,madness,Oct 28 2016
436,436,a139,b3106,screen memories,john maus,Oct 27 2017,screen memories,john maus,Oct 27 2017
439,439,a1394,b1885,new skin,crx,Oct 28 2016,new skin,crx,Oct 28 2016
440,440,a1395,b1900,brotherhood of the snake,testament,Oct 28 2016,brotherhood of the snake,testament,Oct 28 2016
443,443,a1399,b1890,trap or die 3,jeezy,Oct 28 2016,trap or die 3,jeezy,Oct 28 2016
444,444,a1401,b1888,dead to the world,helmet,Oct 28 2016,dead to the world,helmet,Oct 28 2016
445,445,a1404,b1881,the stage,avenged sevenfold,Oct 28 2016,the stage,avenged sevenfold,Oct 28 2016
452,452,a1415,b1892,very kacey christmas,kacey musgraves,Oct 28 2016,a very kacey christmas,kacey musgraves,Oct 28 2016
455,455,a1416,b1863,the serenity of suffering,korn,Oct 21 2016,the serenity of suffering,korn,Oct 21 2016
458,458,a1417,b1865,you want it darker,leonard cohen,Oct 21 2016,you want it darker,leonard cohen,Oct 21 2016
462,462,a1418,b1873,running out of love,the radio dept.,Oct 21 2016,running out of love,the radio dept.,Oct 21 2016
463,463,a1419,b1864,joanne,lady gaga,Oct 21 2016,joanne,lady gaga,Oct 21 2016
465,465,a1421,b1853,american football (lp2),american football,Oct 21 2016,american football,american football,Oct 21 2016
466,466,a1422,b1851,citizen of glass,agnes obel,Oct 21 2016,citizen of glass,agnes obel,Oct 21 2016
467,467,a1423,b1870,alone,pretenders,Oct 21 2016,alone,the pretenders,Oct 21 2016
468,468,a1425,b1855,lighthouse,david crosby,Oct 21 2016,lighthouse,david crosby,Oct 21 2016
470,470,a1429,b1861,integrity blues,jimmy eat world,Oct 21 2016,integrity blues,jimmy eat world,Oct 21 2016
471,471,a143,b3108,"the lonely, the lonesome & the gone",lee ann womack,Oct 27 2017,"the lonely, the lonesome & the gone",lee ann womack,Oct 27 2017
487,487,a1434,b1787,the false foundation,archive,Oct 21 2016,the false foundation,archive,Oct 7 2016
492,492,a1436,b1884,mapping the rendezvous,the courteeners,Oct 21 2016,mapping the rendezvous,courteeners,Oct 28 2016
494,494,a1438,b1857,big baby d.r.a.m.,d.r.a.m.,Oct 21 2016,big baby d.r.a.m.,dram,Oct 21 2016
495,495,a1440,b1831,beyond now,donny mccaslin,Oct 21 2016,beyond now,donny mccaslin,Oct 14 2016
496,496,a1441,b1856,the deaner album,the dean ween group,Oct 21 2016,the deaner album,the dean ween group,Oct 21 2016
509,509,a145,b3107,meaning of life,kelly clarkson,Oct 27 2017,meaning of life,kelly clarkson,Oct 27 2017
511,511,a1450,b1825,ruminations,conor oberst,Oct 14 2016,ruminations,conor oberst,Oct 14 2016
514,514,a1453,b1830,dissociation,the dillinger escape plan,Oct 14 2016,dissociation,the dillinger escape plan,Oct 14 2016
524,524,a1455,b1841,walls,kings of leon,Oct 14 2016,walls,kings of leon,Oct 14 2016
525,525,a1457,b1849,gameshow,two door cinema club,Oct 14 2016,gameshow,two door cinema club,Oct 14 2016
527,527,a146,b3101,nat king cole & me,gregory porter,Oct 27 2017,nat king cole & me,gregory porter,Oct 27 2017
532,532,a1463,b1844,"cow / chill out, world!",the orb,Oct 14 2016,"cow / chill out, world!",the orb,Oct 14 2016
554,554,a1476,b1848,the wave,tom chaplin,Oct 14 2016,the wave,tom chaplin,Oct 14 2016
556,556,a1477,b1838,mad love,jojo,Oct 14 2016,mad love,jojo,Oct 14 2016
558,558,a1484,b1827,arctic thunder,darkthrone,Oct 14 2016,arctic thunder,darkthrone,Oct 14 2016
559,559,a1485,b1822,arms,bell x1,Oct 14 2016,arms,bell x1,Oct 14 2016
560,560,a1488,b1836,worry.,jeff rosenstock,Oct 14 2016,worry.,jeff rosenstock,Oct 14 2016
563,563,a1493,b1797,requiem,goat,Oct 7 2016,requiem,goat,Oct 7 2016
564,564,a1494,b1798,revolution radio,green day,Oct 7 2016,revolution radio,green day,Oct 7 2016
566,566,a1496,b1811,three,phantogram,Oct 7 2016,three,phantogram,Oct 7 2016
567,567,a1497,b1800,stay together,kaiser chiefs,Oct 7 2016,stay together,kaiser chiefs,Oct 7 2016
569,569,a1501,b1799,cody,joyce manor,Oct 7 2016,cody,joyce manor,Oct 7 2016
570,570,a1502,b1818,friends,white lies,Oct 7 2016,friends,white lies,Oct 7 2016
571,571,a1503,b1808,day breaks,norah jones,Oct 7 2016,day breaks,norah jones,Oct 7 2016
572,572,a1504,b1817,13 voices,sum 41,Oct 7 2016,13 voices,sum 41,Oct 7 2016
573,573,a1505,b1786,the last hero,alter bridge,Oct 7 2016,the last hero,alter bridge,Oct 7 2016
576,576,a1507,b1788,in the now,barry gibb,Oct 7 2016,in the now,barry gibb,Oct 7 2016
577,577,a1508,b1807,first ditch effort,nofx,Oct 7 2016,first ditch effort,nofx,Oct 7 2016
580,580,a151,b3096,4eva is a mighty long time,big k.r.i.t.,Oct 27 2017,4eva is a mighty long time,big k.r.i.t.,Oct 27 2017
582,582,a1510,b1791,mothership,dance gavin dance,Oct 7 2016,mothership,dance gavin dance,Oct 7 2016
584,584,a1511,b1806,the violent sleep of reason,meshuggah,Oct 7 2016,the violent sleep of reason,meshuggah,Oct 7 2016
585,585,a1512,b1810,oh my my,onerepublic,Oct 7 2016,oh my my,onerepublic,Oct 7 2016
587,587,a1518,b1771,all wet,mr. oizo,Sep 30 2016,all wet,mr. oizo,Sep 30 2016
588,588,a1519,b1767,blood bitch,jenny hval,Sep 30 2016,blood bitch,jenny hval,Sep 30 2016
590,590,a152,b3113,beach house iii,ty dolla $ign,Oct 27 2017,beach house 3,ty dolla sign,Oct 27 2017
591,591,a1520,b1773,head carrier,pixies,Sep 30 2016,head carrier,pixies,Sep 30 2016
592,592,a1522,b1759,"22, a million",bon iver,Sep 30 2016,"22, a million",bon iver,Sep 30 2016
593,593,a1523,b1763,american band,drive-by truckers,Sep 30 2016,american band,drive-by truckers,Sep 30 2016
595,595,a1524,b1775,remember us to life,regina spektor,Sep 30 2016,remember us to life,regina spektor,Sep 30 2016
597,597,a1526,b1781,keep me singing,van morrison,Sep 30 2016,keep me singing,van morrison,Sep 30 2016
600,600,a1527,b1782,toy,yello,Sep 30 2016,toy,yello,Sep 30 2016
601,601,a153,b3097,plunge,fever ray,Oct 27 2017,plunge,fever ray,Oct 27 2017
606,606,a1532,b1776,take control,slaves,Sep 30 2016,take control,slaves,Sep 30 2016
609,609,a1533,b1772,sorceress,opeth,Sep 30 2016,sorceress,opeth,Sep 30 2016
612,612,a1534,b1757,the altar,banks,Sep 30 2016,the altar,banks,Sep 30 2016
617,617,a1537,b1783,yellowcard,yellowcard,Sep 30 2016,yellowcard,yellowcard,Sep 30 2016
619,619,a1539,b1758,blue mountain,bob weir,Sep 30 2016,blue mountain,bob weir,Sep 30 2016
620,620,a1540,b1777,a seat at the table,solange,Sep 30 2016,a seat at the table,solange,Sep 30 2016
625,625,a1552,b1778,world gone mad,suicidal tendencies,Sep 30 2016,world gone mad,suicidal tendencies,Sep 30 2016
626,626,a1554,b1754,atrocity exhibition,danny brown,Sep 27 2016,atrocity exhibition,danny brown,Sep 27 2016
627,627,a1554,b1761,atrocity exhibition,danny brown,Sep 27 2016,atrocity exhibition,danny brown,Sep 30 2016
628,628,a1556,b1734,ape in pink marble,devendra banhart,Sep 23 2016,ape in pink marble,devendra banhart,Sep 23 2016
629,629,a1557,b1736,low teens,every time i die,Sep 23 2016,low teens,every time i die,Sep 23 2016
631,631,a1561,b1738,i had a dream that you were mine,hamilton leithauser,Sep 23 2016,i had a dream that you were mine,hamilton leithauser + rostam,Sep 23 2016
632,632,a1562,b1728,a loud bash of teenage feelings,beach slang,Sep 23 2016,a loud bash of teenage feelings,beach slang,Sep 23 2016
633,633,a1563,b1753,heads up,warpaint,Sep 23 2016,heads up,warpaint,Sep 23 2016
634,634,a1564,b1739,care,how to dress well,Sep 23 2016,care,how to dress well,Sep 23 2016
635,635,a1566,b1730,chapter and verse,bruce springsteen,Sep 23 2016,chapter and verse,bruce springsteen,Sep 23 2016
640,640,a1571,b1733,who can i be now? (1974-1976) [box set],david bowie,Sep 23 2016,who can i be now? (1974–1976),david bowie,Sep 23 2016
645,645,a1574,b1729,writing of blues & yellows,billie marten,Sep 23 2016,writing of blues and yellows,billie marten,Sep 23 2016
646,646,a1575,b1737,broken lines,giraffe tongue orchestra,Sep 23 2016,broken lines,giraffe tongue orchestra,Sep 23 2016
647,647,a1578,b1727,breakin' outta hell,airbourne,Sep 23 2016,breakin' outta hell,airbourne,Sep 23 2016
648,648,a1588,b1695,braver than we are,meat loaf,Sep 16 2016,braver than we are,meat loaf,Sep 9 2016
650,650,a1592,b1707,shape shift with me,against me!,Sep 16 2016,shape shift with me,against me!,Sep 16 2016
653,653,a1598,b1722,fixion,trentemøller,Sep 16 2016,fixion,trentemøller,Sep 16 2016
654,654,a1599,b1708,i remember,alunageorge,Sep 16 2016,i remember,alunageorge,Sep 16 2016
657,657,a16,b3181,saturation iii,brockhampton,Dec 15 2017,saturation iii,brockhampton,Dec 15 2017
659,659,a1603,b1721,stage four,touche amore,Sep 16 2016,stage four,touché amoré,Sep 16 2016
660,660,a1604,b1723,hard ii love,usher,Sep 16 2016,hard ii love,usher,Sep 16 2016
661,661,a1606,b1720,tidal wave,taking back sunday,Sep 16 2016,tidal wave,taking back sunday,Sep 16 2016
662,662,a1607,b1718,the  divine feminine,mac miller,Sep 16 2016,the divine feminine,mac miller,Sep 16 2016
664,664,a161,b3090,all american made,margo price,Oct 20 2017,all american made,margo price,Oct 20 2017
665,665,a1613,b1714,mount ninji and da nice time kid,die antwoord,Sep 16 2016,mount ninji and da nice time kid,die antwoord,Sep 16 2016
667,667,a1619,b1705,star treatment,wovenhand,Sep 16 2016,star treatment,wovenhand,Sep 9 2016
671,671,a1626,b1681,splendor & misery,clipping,Sep 9 2016,splendor & misery,clipping.,Sep 9 2016
672,672,a1627,b1694,aim,m.i.a.,Sep 9 2016,aim,m.i.a.,Sep 9 2016
674,674,a1629,b1699,away,okkervil river,Sep 9 2016,away,okkervil river,Sep 9 2016
675,675,a1630,b1702,here,teenage fanclub,Sep 9 2016,here,teenage fanclub,Sep 9 2016
678,678,a1633,b1471,science agrees,d.a.r.k.,Sep 9 2016,science agrees,d.a.r.k.,May 27 2016
679,679,a1634,b1689,acoustic recordings 1998-2016,jack white,Sep 9 2016,acoustic recordings 1998–2016,jack white,Sep 9 2016
680,680,a1635,b1692,kin,kt tunstall,Sep 9 2016,kin,kt tunstall,Sep 9 2016
681,681,a1637,b1679,wild world,bastille,Sep 9 2016,wild world,bastille,Sep 9 2016
682,682,a1638,b1691,sunlit youth,local natives,Sep 9 2016,sunlit youth,local natives,Sep 9 2016
685,685,a1641,b1696,skeleton tree,nick cave & the bad seeds,Sep 9 2016,skeleton tree,nick cave and the bad seeds,Sep 9 2016
689,689,a1644,b1683,transcendence,devin townsend project,Sep 9 2016,transcendence,devin townsend project,Sep 9 2016
710,710,a1650,b1687,big mess,grouplove,Sep 9 2016,big mess,grouplove,Sep 9 2016
715,715,a1659,b1688,signs of light,the head and the heart,Sep 9 2016,signs of light,the head and the heart,Sep 9 2016
718,718,a1662,b1675,birds in the trap sing mcknight,travis scott,Sep 2 2016,birds in the trap sing mcknight,travis scott,Sep 2 2016
720,720,a1663,b1665,my woman,angel olsen,Sep 2 2016,my woman,angel olsen,Sep 2 2016
722,722,a1664,b1668,false readings on,eluvium,Sep 2 2016,false readings on,eluvium,Sep 2 2016
724,724,a1667,b1678,ultra,zomby,Sep 2 2016,ultra,zomby,Sep 2 2016
725,725,a167,b3091,flicker,niall horan,Oct 20 2017,flicker,niall horan,Oct 20 2017
726,726,a1675,b1671,we move,james vincent mcmorrow,Sep 2 2016,we move,james vincent mcmorrow,Sep 2 2016
727,727,a1676,b1667,bad vibrations,a day to remember,Sep 2 2016,bad vibrations,a day to remember,Sep 2 2016
728,728,a1677,b1670,mystère,la femme,Sep 2 2016,mystère,la femme,Sep 2 2016
730,730,a168,b3087,glasshouse,jessie ware,Oct 20 2017,glasshouse,jessie ware,Oct 20 2017
732,732,a1684,b1651,and the anonymous nobody,de la soul,Aug 26 2016,and the anonymous nobody...,de la soul,Aug 26 2016
739,739,a1689,b1647,glory,britney spears,Aug 26 2016,glory,britney spears,Aug 26 2016
740,740,a1690,b1655,how to be a human being,glass animals,Aug 26 2016,how to be a human being,glass animals,Aug 26 2016
741,741,a1691,b1643,between waves,the album leaf,Aug 26 2016,between waves,the album leaf,Aug 26 2016
749,749,a17,b3186,no one ever really dies,n.e.r.d,Dec 15 2017,no_one ever really dies,n.e.r.d,Dec 15 2017
755,755,a1707,b1641,blonde,frank ocean,Aug 20 2016,blonde,frank ocean,Aug 20 2016
756,756,a1708,b1631,endless,frank ocean,Aug 19 2016,endless,frank ocean,Aug 19 2016
759,759,a1709,b1630,furnaces,ed harcourt,Aug 19 2016,furnaces,ed harcourt,Aug 19 2016
761,761,a1720,b1635,at swim,lisa hannigan,Aug 19 2016,at swim,lisa hannigan,Aug 19 2016
764,764,a1726,b1629,amnesty (i),crystal castles,Aug 19 2016,amnesty (i),crystal castles,Aug 19 2016
771,771,a1744,b1624,innocence reaches,of montreal,Aug 12 2016,innocence reaches,of montreal,Aug 12 2016
775,775,a1748,b1625,your wilderness,the pineapple thief,Aug 12 2016,your wilderness,the pineapple thief,Aug 12 2016
780,780,a1751,b1626,home of the strange,young the giant,Aug 12 2016,home of the strange,young the giant,Aug 12 2016
795,795,a1763,b1610,give a glimpse of what yer not,dinosaur jr.,Aug 5 2016,give a glimpse of what yer not,dinosaur jr.,Aug 5 2016
796,796,a1764,b1620,boy king,wild beasts,Aug 5 2016,boy king,wild beasts,Aug 5 2016
797,797,a1767,b1617,guidance,russian circles,Aug 5 2016,guidance,russian circles,Aug 5 2016
798,798,a1768,b1609,blossoms,blossoms,Aug 5 2016,blossoms,blossoms,Aug 5 2016
800,800,a1776,b1608,morning report,arkells,Aug 5 2016,morning report,arkells,Aug 5 2016
802,802,a1782,b1612,way down in the jungle room,elvis presley,Aug 5 2016,way down in the jungle room,elvis presley,Aug 5 2016
804,804,a1783,b1611,encore,dj snake,Aug 5 2016,encore,dj snake,Aug 5 2016
805,805,a1784,b1613,landlord,giggs,Aug 5 2016,landlord,giggs,Aug 5 2016
821,821,a1790,b1604,for all we know,nao,Jul 29 2016,for all we know,nao,Jul 29 2016
825,825,a1792,b1598,hypercaffium spazzinate,descendents,Jul 29 2016,hypercaffium spazzinate,descendents,Jul 29 2016
829,829,a1794,b1595,afraid of heights,billy talent,Jul 29 2016,afraid of heights,billy talent,Jul 29 2016
834,834,a18,b3183,revival,eminem,Dec 15 2017,revival,eminem,Dec 15 2017
850,850,a1801,b1599,major key,dj khaled,Jul 29 2016,major key,dj khaled,Jul 29 2016
868,868,a1816,b1592,periphery iii: select difficulty,periphery,Jul 22 2016,periphery iii: select difficulty,periphery,Jul 22 2016
871,871,a1817,b1589,everybody looking,gucci mane,Jul 22 2016,everybody looking,gucci mane,Jul 22 2016
875,875,a1820,b1591,lil durk 2x,lil durk,Jul 22 2016,lil durk 2x,lil durk,Jul 22 2016
880,880,a1824,b1585,love & hate,michael kiwanuka,Jul 15 2016,love & hate,michael kiwanuka,Jul 15 2016
881,881,a1825,b1567,coolaid,snoop dogg,Jul 15 2016,coolaid,snoop dogg,Jul 1 2016
884,884,a1827,b1586,we're all somebody from somewhere,steven tyler,Jul 15 2016,we're all somebody from somewhere,steven tyler,Jul 15 2016
885,885,a1828,b1583,youth authority,good charlotte,Jul 15 2016,youth authority,good charlotte,Jul 15 2016
887,887,a1839,b1568,wildflower,the avalanches,Jul 8 2016,wildflower,the avalanches,Jul 8 2016
888,888,a1840,b1577,nothing's real,shura,Jul 8 2016,nothing's real,shura,Jul 8 2016
889,889,a1841,b1575,take her up to monto,roisin murphy,Jul 8 2016,take her up to monto,róisín murphy,Jul 8 2016
892,892,a1845,b1569,ellipsis,biffy clyro,Jul 8 2016,ellipsis,biffy clyro,Jul 8 2016
894,894,a1849,b1576,blank face lp,schoolboy q,Jul 8 2016,blank face lp,schoolboy q,Jul 8 2016
897,897,a1857,b1573,beautiful broken,heart,Jul 8 2016,beautiful broken,heart,Jul 8 2016
898,898,a1861,b1555,the bride,bat for lashes,Jul 1 2016,the bride,bat for lashes,Jul 1 2016
899,899,a1862,b1556,california,blink-182,Jul 1 2016,california,blink-182,Jul 1 2016
902,902,a1864,b1564,summer 08,metronomy,Jul 1 2016,summer 08,metronomy,Jul 1 2016
903,903,a1865,b1563,blacksummers'night (2016),maxwell,Jul 1 2016,blacksummers'night,maxwell,Jul 1 2016
904,904,a1868,b1565,young in all the wrong ways,sara watkins,Jul 1 2016,young in all the wrong ways,sara watkins,Jul 1 2016
905,905,a1869,b1557,freetown sound,blood orange,Jun 28 2016,freetown sound,blood orange,Jul 1 2016
906,906,a187,b3094,a long way from your heart,turnpike troubadours,Oct 20 2017,a long way from your heart,turnpike troubadours,Oct 20 2017
908,908,a1874,b1528,earth,neil young,Jun 24 2016,earth,neil young,Jun 17 2016
911,911,a1875,b1542,the  mountain will fall,dj shadow,Jun 24 2016,the mountain will fall,dj shadow,Jun 24 2016
912,912,a1878,b1544,hot hot heat,hot hot heat,Jun 24 2016,hot hot heat,hot hot heat,Jun 24 2016
913,913,a1882,b1549,mark of the blade,whitechapel,Jun 24 2016,mark of the blade,whitechapel,Jun 24 2016
915,915,a1885,b1540,conscious,broods,Jun 24 2016,conscious,broods,Jun 24 2016
917,917,a1887,b1543,on desire,drowners,Jun 24 2016,on desire,drowners,Jun 24 2016
918,918,a1889,b1547,nice as f**k,nice as fuck,Jun 24 2016,nice as fuck,nice as fuck,Jun 24 2016
922,922,a1894,b1539,alice bag,alice bag,Jun 24 2016,alice bag,alice bag,Jun 24 2016
923,923,a1895,b1538,muzik,delorean,Jun 22 2016,muzik,delorean,Jun 22 2016
927,927,a1897,b1526,the dreaming room,laura mvula,Jun 17 2016,the dreaming room,laura mvula,Jun 17 2016
928,928,a1899,b1529,the getaway,red hot chili peppers,Jun 17 2016,the getaway,red hot chili peppers,Jun 17 2016
932,932,a1900,b1527,puberty 2,mitski,Jun 17 2016,puberty 2,mitski,Jun 17 2016
936,936,a1902,b1532,the glowing man,swans,Jun 17 2016,the glowing man,swans,Jun 17 2016
937,937,a1904,b1505,say yes,big deal,Jun 17 2016,say yes,big deal,Jun 10 2016
938,938,a1905,b1525,on my one,jake bugg,Jun 17 2016,on my one,jake bugg,Jun 17 2016
939,939,a1908,b1524,magma,gojira,Jun 17 2016,magma,gojira,Jun 17 2016
944,944,a1921,b1534,man machine poem,the tragically hip,Jun 17 2016,man machine poem,the tragically hip,Jun 17 2016
952,952,a1927,b1508,strange little birds,garbage,Jun 10 2016,strange little birds,garbage,Jun 10 2016
953,953,a1928,b1503,american tunes,allen toussaint,Jun 10 2016,american tunes,allen toussaint,Jun 10 2016
954,954,a193,b3076,the knowledge,squeeze,Oct 13 2017,the knowledge,squeeze,Oct 13 2017
956,956,a1932,b1515,breakin' point,peter bjorn and john,Jun 10 2016,breakin' point,peter bjorn and john,Jun 10 2016
